file,group,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102
B01f00d1,Low GC 2,287057.180546875,154624.0019531248,120488.27234375004,201720.41656249977,221928.35234374995,174224.24375000008,262006.9035937499,288356.765625,275702.95726562483,309522.78796874965,307481.90624999965,305196.1902343748,339722.2109375,363472.2390624999,349738.5757031251,361681.0335937503,367762.2424999999,350212.6396875001,399313.20125000016,413111.22874999966,423082.10218749975,439252.31992187473,493561.4888281254,488502.4217187504,486755.17007812485,501764.98265624995,521788.25875,546967.5659375002,557455.8392187499,575960.7062500002,620572.1105468754,643358.7840625,646855.0305468752,674369.6977343754,680803.7367187499,729465.2962500004,716859.6112499994,753457.6089843751,721730.4875000002,740275.3617187503,738303.2598437499,737923.3203125003,764647.0209375004,770471.5119531251,768668.2843749998,773736.50328125,776014.3696874997,309873.27734375,776937.51875,803053.7632812499,813477.5354687497,832999.3112499999,858927.51171875,838449.9872656245,814218.786328125,802846.5765625,821025.1090625002,837982.35,854385.9412499997,893246.1609375002,891332.7582812498,875317.0945312502,888135.5100000001,932231.3387500001,886288.058125,927056.5641406253,919031.1804687501,912931.5684374995,944424.48828125,952669.7279687498,988377.6343749994,963448.0987499999,996961.7179687503,1029085.8128125002,1063099.5442968751,1083466.8582031247,1090694.5519531248,1110922.8493750005,1081931.3987500002,1087149.2475,1092622.1293749996,1101397.419921875,1107773.969765625,1110412.07734375,1123141.25046875,1133415.9637500003,1158508.609296875,1156091.9531249998,1174894.1696093753,1146447.6304687492,1177337.7154687499,1174329.1701562505,1187725.0730468747,1192508.72015625,1243556.0742187505,1236204.5312500002,1235566.4651562504,1241956.8863281251,1266902.5009375005,1236117.87140625,1230093.5178124998,1233835.8666406246,1251097.8775
B01f01d1,Low GC 2,418473.1946753247,734151.941201298,775751.7868506484,707971.726071429,672127.6551948052,762162.1574675331,550381.016558441,526426.7845779222,536028.6675324674,446651.8538636363,459216.08857142855,466055.3716233767,421647.2598051944,431720.05311688286,461463.56685064925,452792.14711038955,459480.59084415593,478106.9540259742,476619.3390909088,501817.7123376625,482831.53766233794,471501.3603896104,463339.46909090935,462136.52675324667,467443.18448051915,464403.53220779216,483517.8644155844,499496.4185064938,487397.7161363634,497525.34685064957,518230.08662337664,488226.8993506493,479217.6600324672,504552.8532467531,555238.3922077925,566311.4959740259,590503.3662337665,594797.6892532473,612406.2288311688,610043.7196428572,601224.5023376623,608627.5098701302,610456.5855194811,629137.2228571431,600097.0225974023,626722.3230519481,631536.2675974027,648429.6337337663,683256.7860389611,704572.1080519478,708990.3423376622,705127.0896103891,722313.3583766235,742093.1072727267,708239.1006493504,701984.3735064938,722904.2174025973,781441.5269805192,801779.8262337663,814745.7667532469,804885.4955844157,775809.3693181818,811368.8679220781,797379.9396103893,814518.3310389613,822317.0575324676,818236.4192532472,871872.6755194799,876403.4978896102,887175.137142857,957557.4939935067,894950.4389610385,947840.7608766237,941916.7883766226,916505.016298701,950255.5812987008,965331.1276623379,1004558.9741883117,988325.8920129873,991976.8230519481,1021282.5851948058,1004553.5620129871,1026195.4402597401,1009630.0276623372,1055490.147012987,1071451.658181818,1064267.0370129868,1110375.6293181817,1098869.264383117,1078749.076558442,1118013.3574025973,1055994.2031168824,1072452.1400649352,1073866.2095779215,1131499.565909091,1097113.859383117,1109358.2048376624,1163112.8927272724,1191867.364448052,1158401.492077922,1163968.1032467533,1202727.0467207793,1206687.5639935066
B02f00d1,Low GC 2,250031.09336538485,234317.06057692293,231269.12884615402,264384.8045192306,260601.47932692294,243304.8407692308,246437.35567307702,224741.9023076925,239219.80153846156,235443.14692307677,231545.92971153848,249156.00576923048,247755.0731730767,287559.71038461506,291629.9378846154,275111.66576923063,290555.51923076913,283967.61538461555,304775.6596153846,286640.5134615385,285717.72163461556,299589.51057692297,305069.8385576922,319628.71624999994,321012.77307692316,357702.4251923078,370456.10326923046,386104.578173077,381278.1451923078,397955.94173076894,415743.04961538437,445794.7740384617,403633.7574038465,420115.05403846165,409217.4834615383,389856.8772115387,397809.36153846147,390666.9399038461,405630.20798076916,418793.76230769255,405671.30509615387,412386.8878846156,446561.0659615382,437984.62249999994,441063.63932692294,464193.4856730772,479281.37961538456,481264.8499038465,494114.03307692334,546355.8369230771,545700.7091346157,552933.8845192303,568003.28125,578501.21875,620581.2465384613,623792.189038462,620305.4801923076,621385.9403846156,602862.9842307692,624803.2290384613,663429.3261538458,651211.5440384614,663544.6334615387,688083.9009615385,662240.7624999998,694871.6086538465,693847.7578846155,687043.7553846152,726815.6499999997,718818.024326923,734175.7079807692,738769.725769231,749628.3006730771,730559.6884615384,731033.2788461539,757084.1481730769,778888.4442307691,736629.9376923076,751217.6914423076,824087.0894230771,771110.35625,805078.892884615,774172.9685576924,781235.3818269235,793003.8076923074,856160.0088461539,904364.7593269229,947682.7584615392,933007.9107692309,979482.0292307696,1011646.775480769,1030909.9561538461,1042575.728269231,1098746.5071153843,1122323.4871153848,1126654.7325000002,1178323.2572115385,1196309.0451923073,1245760.5401923077,1204552.3448076916,1221865.5576923077,1231295.5063461536,1254290.1346153845
B03f00d1,Low GC 2,343203.49488372076,205980.20093023274,250004.78488372092,338151.5476744193,325029.65558139543,325827.37151162786,307230.3226744186,333588.014883721,335483.84337209293,337712.54941860464,328640.242093023,334063.925872093,344955.109767442,382652.10895348823,404264.7497093026,400978.9379651163,368665.68372093025,406901.94040697673,375502.4573255815,384389.6798837206,365364.8612790695,403304.1428488369,404455.894883721,427108.77622093033,432558.37023255846,420563.6611627906,424699.55720930226,429769.14790697675,444614.38366279047,462318.83633720945,469113.7176744184,493459.5590697676,489963.2107558139,508830.6629651162,502864.40883720916,524633.9709302324,529298.1630232556,556434.2151162791,587410.5072674418,570419.0433139536,593299.8406976742,568863.1711627911,588510.0266279071,597423.447848837,609012.6875,635224.7260465117,644846.3972093023,585861.0079069769,634906.5833720928,643633.2686046512,664650.3697674419,674352.5745348841,662912.6751744186,660879.3223255816,662350.1051162791,661400.8232558138,664727.3023255814,698754.1215116277,729615.1773255813,744413.9403488368,769581.2183139534,791958.6348837209,783107.0743023257,771689.7434883717,806554.5922674417,794183.801511628,832680.1407558135,841469.3476744187,807053.502325581,812986.0087209304,830601.6099418607,826390.6670930233,835525.924302326,819199.4262209306,847201.1023255815,886198.9470930233,886583.0697674418,903890.3376744181,942456.846046512,438604.2627906977,930105.7125581397,970491.8048255821,976297.0888372099,978332.8063953486,965937.8913953488,987077.4418604651,1025629.2593023255,1013785.5148837209,1030081.8872093023,1050627.8515116284,1059283.5829069766,1115919.5521511633,1151433.2755813948,1122262.2725581394,1110739.084418604,1103775.889883721,1138481.8511627906,1200048.3179069771,1200315.4544186045,1217978.9899999995,1203952.3315697676,1191629.9323837208,1203433.8941860464
B03f01d1,Low GC 2,344026.416666666,312106.0278124996,282986.7550000001,394973.9392708328,394840.29653645883,402392.65437500057,412633.49388020835,425300.56346354185,416799.6763020837,465766.5005208336,468768.4667708333,438887.7397395834,471736.3635416664,470070.0858333332,474036.3932812498,447087.11583333346,433670.7123177082,436631.2015104166,451647.2275000002,459808.13927083305,452609.21046875004,431375.90341145784,412059.38854166673,388875.7516666667,320550.1993489581,381125.96312500024,434079.72492187476,435937.09333333303,508545.25937500014,511095.21057291614,510617.35718750046,479241.68062500004,415857.6057291669,414667.58390625013,488150.76166666695,472505.32752604154,464536.9914322912,496914.2157291667,492665.5499999998,508787.65098958346,531870.0076822918,446338.41809895815,433952.4144531253,464533.95372395875,497308.31276041665,575466.1759114581,556621.2714583332,620394.3388281252,511404.6937499998,548596.1963541667,647695.6321354165,656547.2639583338,672493.3699218751,631532.6835937499,638029.0389322916,587875.916927083,661805.9240885422,720042.5503125004,707703.153020833,732345.7167708335,696594.0098958334,659040.7819010416,650607.1167187502,681838.0167968749,704118.786197917,708106.3953645836,635503.1523177087,710454.8241666672,734264.7268229169,755558.5016406258,793151.9192447915,805896.0500260418,801443.7312500003,769554.8609374999,838904.4893229166,839709.5174479168,781726.6567708337,814499.3733593748,776390.5595833332,941854.5802864583,937647.0497395833,853282.8227343756,938760.703125,1052969.92203125,1126715.5525520828,1127171.8327083332,1159417.378411458,1166857.9674479167,1192974.4711979174,1244902.566536459,1278563.6779947926,1312937.6802083333,1328890.536354166,1348078.9659374997,1371516.7530729168,1385387.7467447915,1437368.4546874992,1448989.0626041668,1440944.31734375,1466140.6098958345,1536257.6622135409,1504381.9869791667,1508483.2247916674
B04f00d1,Pur:Pyr 1:7 C,482781.60846153885,436072.69038461545,517347.74538461526,529236.9567307692,539849.9121153847,548939.6230769233,566537.7921153842,595306.8036538464,574931.9905769228,589627.2367307695,609098.8969230766,636410.8015384611,586728.0615384615,618706.9415384616,624819.3876923074,595992.8384615389,608392.0369230768,591346.1455769233,641699.7830769231,603205.5976923074,637515.334230769,607911.8965384613,619769.8686538457,644714.0976923077,639561.7788461539,623099.5030769233,663118.7565384608,651553.8750000001,672139.8442307692,630358.2426923076,648902.5046153846,682514.0807692308,675834.5534615385,686299.8307692308,709196.7411538458,684202.2438461537,685087.9961538459,663321.0876923078,666153.5728846157,664791.0519230771,707648.2692307694,728965.6111538459,721815.3903846156,739434.2338461542,776580.871923077,737429.9473076918,666955.7846153843,685798.7853846151,660663.446923077,740117.4201923081,729112.7748076922,724033.0553846156,716756.6584615391,732905.5453846158,767736.2165384617,771320.5423076928,762603.1519230765,769807.2903846151,784322.9786538465,768474.4238461541,814958.9798076922,843258.0303846151,833600.0638461544,840664.6386538462,883283.4580769229,847462.9969230767,823186.133846154,834506.018846154,846684.0865384615,860212.6182692312,883857.5136538463,884693.1246153843,902122.6830769231,913486.0538461542,973320.8684615382,1054528.2675,1050303.095384615,275164.93384615396,1032169.2494230772,1040308.1161538461,1030837.1715384612,1023537.1476923077,1032055.0490384623,1047592.2346153839,1036419.7182692308,1033735.7192307692,1052401.3384615383,1022574.6836538464,994574.6384615385,996977.7305769232,953018.607307692,960675.2376923078,931777.1800000004,896526.5246153852,962579.6669230772,892936.6467307695,885375.947692308,875692.5934615384,892219.0375000002,902702.5259615388,872228.6005769225,886976.7786538454,856881.4317307691
B04f01d1,Pur:Pyr 1:7 C,268901.73333333316,289481.6386111113,309866.8000000004,350725.312055555,333962.1235555553,333882.0233888889,361655.49611111137,364352.02744444396,362889.3859999996,357803.6171111111,340265.4402777778,322157.7191111111,284056.7287222225,273871.6619444449,291684.9507777779,298832.1768888888,289738.0701111107,297684.215111111,335010.8487777779,355489.1430000002,377414.8522222224,350100.1680000001,353669.4648333329,369453.8630555556,367354.7355555557,401621.05000000016,467163.22949999996,481631.19933333364,469724.63333333336,446372.06255555566,425060.7288888891,399070.0136111112,394759.62188888877,372780.291111111,393516.361111111,413813.3898333332,405703.5679999999,427364.0044444448,439561.60749999987,470805.7670555554,471296.86000000034,503061.66161111096,495735.1222777778,477729.44083333353,478160.1335555556,476755.9194444445,464074.6437777779,485004.2222222223,495681.21377777756,513598.33138888923,524094.5237777778,552088.7839999998,586298.7931111109,614990.8947777778,601097.5386666666,596507.0844444446,625932.4272222226,658122.1054999997,665507.1567777774,663207.6588333335,685513.3005555554,684929.1676666668,763160.1208888885,755310.9808888889,736783.0816111108,766224.1812222217,796053.2200000001,765936.5039999998,785126.4888888889,778529.4705555553,826032.1656666669,835615.2033333333,831899.44,877534.1249999999,924874.280444444,949306.060666667,960568.1591666663,942880.9644444449,917567.7833333333,865013.8474444448,808942.3671111111,858428.1146666667,896941.1952777778,931190.1076666662,955225.7582222215,976817.4286111111,925356.6380000004,874781.0662222225,811813.7742222222,822500.4102777777,912605.5511111115,905861.1731111108,826758.5229999999,851173.1587222225,864847.5825555556,817445.6123333331,842867.1273333335,944172.8068888882,1063656.6074444454,1105136.2808333328,1089098.7555555555,1117668.8550555555,1174878.2617777777
B05f00d1,Pur:Pyr 1:7 C,477206.16727272735,488059.0931818183,488996.7672727275,497882.10795454547,538273.1295454548,539871.5075000001,536303.6479545454,536739.2659090909,564391.3250000001,510555.9454545453,539040.370227273,554736.8136363636,522853.25090909074,531527.7936363636,530692.0404545452,523739.3022727275,506511.1813636361,392736.67454545444,452220.8465909091,472076.02204545477,501588.6843181818,515139.3418181816,532507.3349999998,514911.1740909094,478129.7054545453,493092.6249999998,508354.5022727272,480263.7854545451,449019.84818181803,501029.9459090909,493721.6800000003,531081.1913636365,553223.9888636364,536279.5572727273,534048.7354545457,590072.39,586665.0681818182,589923.0136363636,582439.9299999998,573501.866818182,613453.25,646757.785454545,639821.9636363637,636018.3920454546,635632.4790909094,658236.0284090907,648044.5140909088,643045.6206818185,607563.0238636367,654818.3145454546,649591.5672727273,646628.15,629878.5909090909,628772.4613636361,632837.5981818183,681519.9531818182,675282.4599999998,661715.1554545457,717395.8797727273,663737.5636363638,706062.460681818,699997.7636363639,713650.309772727,744487.9036363638,744189.9570454546,737380.7770454547,739930.6727272727,772668.1281818184,765778.6250000001,755762.9820454547,785432.7672727272,791783.2422727271,810540.9822727274,839534.7145454545,812999.1443181813,816250.5445454548,863351.3672727272,855238.2120454542,857249.6527272732,872030.0636363636,871199.351818182,876685.5068181816,878745.9909090904,878196.7181818183,911320.9981818182,896647.4618181814,910121.2563636363,933828.0540909092,897610.9759090914,865669.7461363635,900439.8045454548,921573.2840909093,950895.4477272726,991162.4013636363,1000529.7668181818,1013757.4063636361,1001900.3165909089,1014660.907272727,1049536.4886363638,1089872.9234090904,1070448.2650000004,1070428.4763636366,1126598.9402272725
B05f01d1,Pur:Pyr 1:7 C,318584.8686538464,313710.4368269234,306351.37019230786,331696.01730769285,318611.52144230757,289195.7673076929,307647.50750000024,281844.696153846,312171.5109615387,315542.5291346152,318081.4547115388,335607.2596153846,323576.9722115387,323270.415,350739.71153846144,368295.15153846156,347554.0100000003,374733.05211538443,367842.89701923076,384073.27548076934,380696.80826923094,366888.94807692285,427274.72105769225,421503.5254807693,452181.8307692304,457214.8707692307,455644.0888461539,461681.27846153866,478821.10769230756,470073.5269230768,463470.051057692,504231.77846153855,511759.90307692275,505635.1838461542,523957.48461538483,525996.2134615385,512685.8592307688,514383.66307692346,510258.1840384618,475618.6910576922,486031.5436538464,519194.34548076894,474306.9538461541,499401.73230769235,483946.4118269228,454362.4113461539,479415.16634615423,495211.8903846153,490778.1853846153,507241.7525961538,548635.9551923077,564805.3934615387,577157.7692307692,602914.472019231,614793.3238461534,643955.737596154,663686.1351923075,644868.3903846154,666280.7399999998,668397.3361538465,690150.7725000004,687556.5192307692,702664.6607692308,736743.5313461537,748912.8446153845,784558.6609615381,795601.8990384615,807641.5805769229,827795.7961538464,873481.0461538457,872461.522692308,899922.848846154,892745.711923077,919391.4638461537,920384.9953846154,930313.7263461538,923671.0839423076,918436.7376923079,922155.5192307691,898377.0361538461,935601.6105769231,966219.2046153848,989038.4626923075,1005854.5411538461,1000556.9996153853,1016430.9076923077,1016507.226923077,1006092.384230769,1057401.784326923,1047102.3838461537,1046117.1455769228,1040128.8001923077,1087718.1703846154,1067952.1815384612,1039723.3340384614,1023546.7427884612,974265.8307692307,902212.6923076921,929855.9817307693,921925.8696153846,910836.650384615,976898.3252884616,930159.5684615382
B06f00d1,Pur:Pyr 1:7 C,216281.8588679247,218155.33457547156,215943.72754716995,219838.73584905657,222792.9122169811,231626.76985849056,239691.9603773585,236990.39311320748,260172.60504716967,244841.46264150954,243605.75216981123,265446.8766037735,262247.34358490567,281192.6336792454,288422.8283018869,280656.16108490556,312192.70047169796,283067.23924528284,266291.9355660375,275616.3896226417,298005.34245283,327082.15188679233,368384.7708962264,356151.2586792454,358517.1034905659,338904.5660377359,339263.4244811324,320829.07759433973,339985.0702830187,328710.2661792453,329565.96566037764,350525.804245283,354684.15603773587,349226.971509434,358045.96933962265,336672.18424528284,367066.0320754717,375893.2979245284,376763.92688679247,400814.85481132095,417397.1667924528,426278.66792452807,425173.84754717007,405439.09929245274,427819.44179245253,394513.5271226414,397550.6216981129,421713.1240566037,410245.9129716981,426752.72773584904,449611.3326415098,432075.0050943396,464703.41509433935,451000.243773585,459215.44471698144,514094.92971698137,501834.1962264149,516096.65207547153,531820.3698113207,530859.7721698112,561301.6238207548,554877.7209433962,605793.4439622645,615097.0095754715,585478.4299528301,625064.0591509434,635121.1070754718,613080.095,658387.1964150947,678458.7265094343,705706.9301886791,690936.398301887,682623.1301886797,694814.5018867925,683340.7004716981,665118.8450471698,705186.9905660378,706868.2158490573,720890.0091981129,730061.0975471701,711926.0037264153,705964.2726415093,732707.537735849,740698.4319811322,726851.5532075476,794707.637735849,815835.7815094347,837980.2883962269,849818.7381132076,848379.2004716978,907669.7707547173,831883.9869811317,851021.8827830189,852714.3937264154,852539.900566038,875131.2169811319,881290.5377358492,907157.7289622645,911337.8543396232,897213.2222169811,838430.9021226418,841545.7096226413,848771.1092452834
