time_sec;F_signal;F_signal_DNA
0;5.047546765;-1.903876329
60;5.634370091;-1.924798047
120;6.777701147;-2.136339862
180;9.027551463;-1.827163364
240;11.80359391;-1.239030627
300;14.63593676;-0.736909397
360;17.82123976;-0.590457372
420;21.04335455;-0.055791248
480;24.98871285;0.571860289
540;28.79765097;1.276224792
600;32.69753588;2.26651944
660;37.40511489;2.940663683
720;41.54968997;3.889114895
780;46.23128418;4.737606788
840;50.96051718;5.665136282
900;55.5706532;6.869297379
960;60.22626262;8.31522055
1020;65.21750899;9.524030918
1080;70.37116034;10.99552508
1140;74.80156818;12.44377288
1200;79.31426121;14.01522636
1260;84.2253878;15.69128843
1320;88.27685069;17.40454466
1380;92.70509313;19.12245017
1440;97.34121394;20.92869181
1500;101.9167036;22.99529261
1560;105.8728889;24.76666473
1620;110.2426655;26.86116116
1680;114.1663698;29.19741965
1740;117.8908574;31.02690765
1800;122.033267;33.24228512
1860;125.0908115;35.93421282
1920;128.8499454;38.10542221
1980;131.8122122;40.73226013
2040;135.4219336;42.8825478
2100;138.4340046;45.00029058
2160;141.9701023;47.62480386
2220;144.3910192;50.25164177
2280;147.3922632;52.18341373
2340;149.9755851;54.38716801
2400;152.515599;57.39524612
2460;154.8715539;59.78729587
2520;157.7580317;62.78607543
2580;159.4253895;64.968908
2640;162.277221;67.16801302
2700;164.2130883;70.04823618
2760;166.2442333;72.95635497
2820;167.4958343;75.19265415
2880;169.5421371;77.24298251
2940;171.3762306;79.86284652
3000;173.6239155;82.33160923
3060;173.7040353;85.11884698
3120;175.9170739;87.45743012
3180;176.9672927;89.53100482
3240;178.236217;91.81612135
3300;180.0010177;94.38949265
3360;181.1681682;96.86058
3420;182.1664175;99.44557448
3480;183.3184101;101.9399082
3540;184.6999351;103.9135236
3600;184.8580093;106.8983553
3660;186.3391427;108.7069216
3720;187.4803084;110.8246644
3780;187.792126;112.4821294
3840;189.3945218;115.2205498
3900;189.7279933;117.0314407
3960;190.6656114;119.2816877
4020;190.674273;121.3389899
4080;192.1835566;123.3219039
4140;191.9193778;124.8794095
4200;192.7660491;126.8855698
4260;193.2900759;129.2985413
4320;193.3701957;130.8328006
4380;194.0089886;132.6460162
4440;194.5546693;134.4080897
4500;194.9704261;136.41425
4560;195.4641372;137.8601732
4620;195.4424832;139.5711048
4680;195.4749642;141.7097693
4740;195.9773369;142.4931714
4800;196.4017553;144.6457837
4860;197.0513752;145.7174406
4920;197.2159456;147.2214796
4980;197.5797327;149.4484803
5040;197.5407555;150.3062707
5100;197.4757935;151.8289068
5160;197.2484266;153.3701401
5220;197.9067081;155.1019934
5280;198.8638148;156.2596618
5340;198.9742501;156.8245481
5400;198.4567196;158.7005289
5460;199.3466989;159.5071773
5520;198.8205068;160.8647643
5580;199.1431513;162.345557
5640;198.6299516;162.8802232
5700;199.2254365;164.079735
5760;199.1193319;165.5349567
5820;199.1713015;165.6488638
5880;199.0846855;166.9274133
5940;199.927026;168.3663625
6000;199.7169823;169.0079619
6060;199.9768302;170.0563724
6120;200.0482884;171.6045795
6180;200.143566;171.6929157
6240;199.5437503;172.2856977
6300;199.4354803;173.5340268
6360;199.7494633;174.0291742
6420;199.9984842;175.0961818
6480;200.4943608;175.4913698
6540;200.38176;176.1957343
6600;200.1392352;177.007032
6660;200.2431744;177.6021387
6720;200.544165;178.2576858
6780;199.1431513;178.7621317
6840;200.5051878;179.5269367
6900;200.0266344;179.9360725
6960;199.7711172;180.5404777
7020;199.3748491;181.7678852
7080;200.6762543;182.0886848
7140;200.2713246;182.6721683
7200;200.6329463;183.4857907
7260;200.4293988;183.6020224
7320;200.186874;184.0297553
7380;200.3947524;184.7317952
7440;200.3471136;185.0479456
7500;200.0287998;185.5756378
7560;200.425068;186.2125879
7620;199.7169823;186.524089
7680;200.5593227;187.1331435
7740;200.3752638;187.0680537
7800;200.316798;187.914221
7860;201.0053951;188.5790667
7920;200.7282239;189.1021096
7980;200.7693665;189.0695647
